price	age	milage	inspect	extras1	extras2
7.3	73	10	12	1	1
3.85	115	30	20	1	0
2.95	127	43	6	0	1
4.8	104	54	25	1	1
6.2	86	57	23	0	0
5.9	74	57	25	1	0
4.9	108	58	25	1	1
4.7	110	65	19	1	1
6.35	90	67.5	19	1	1
5.9	78	68	12	0	0
3.823	101	69	8	1	0
4.4	114	69.5	21	1	1
5.555	89	71	25	1	1
4.9	97	72	12	1	0
4.95	98	75	12	1	0
4.95	98	75	12	1	0
3.95	133	76.1	18	1	1
6.5	78	77	6	0	0
5.5	91	78	18	0	1
2.5	115	78	25	1	1
4.499	80	79	24	1	1
2.222	139	79.431	22	0	1
5	87	85	25	1	1
4.5	98	85	6	1	1
2.5	89	85	19	0	1
6.5	97	87	14	0	1
2.9	96	87	25	1	1
6.6	78	88	19	0	0
5.2	75	92.95	10	0	0
3.85	119	93.5	24	1	1
3.25	123	96	10	1	1
2.4	110	97	24	1	1
5.2	81	97	20	0	1
4.6	95	98	14	1	1
6.6	113	98	25	0	1
3.3	126	98.9	16	1	0
4.35	92	100	17	1	1
2.25	128	101	7	1	0
3.899	114	101.963	19	1	0
5.45	91	102	6	0	0
5.45	90	105	23	0	1
2.4	133	106	25	0	1
7	65	107	20	0	1
3.7	122	107	20	1	1
2.9	100	107	21	1	1
5	90	107	17	0	0
2.9	141	108	20	0	1
2.45	131	108	25	0	0
3.4	115	109	20	1	1
4.2	131	110	25	0	1
2.7	107	110	18	1	1
3.39	115	110.8	16	1	1
3.6	73	111	6	1	1
3.2	119	112	18	1	0
3.99	100	112	9	1	1
2.35	125	112	25	0	1
3.6	135	112	22	0	1
2.5	131	113	25	0	1
3.6	108	115	24	1	1
4.5	134	116.7	0	0	1
3.2	128	118	16	0	0
6.15	72	118	10	1	1
1.555	124	119	9	1	1
4.5	78	119	24	1	0
1.555	124	119	9	0	1
2.35	132	119	24	1	1
3.75	106	119	11	1	1
5.6	77	120	7	1	1
3.299	127	120	6	1	1
2	142	120	19	1	1
2.8	129	120	5	1	0
3.5	135	122	11	1	1
3	107	122	23	1	1
2.9	109	123	24	1	1
4.85	100	124	25	1	0
2.8	108	124.85	25	1	1
2.999	131	125	2	1	0
2.5	125	126	2	1	1
4.25	99	128	10	1	1
2	98	128	25	1	1
4	133	128.5	24	1	1
3.8	101	129	11	1	1
2.6	120	130	13	0	1
2.6	120	130	13	1	0
3.65	110	130	23	1	1
4.799	93	130.5	16	1	0
2.3	127	131	7	0	1
3.4	105	133	6	1	1
2.9	114	135	25	1	0
2.6	133	136	16	0	0
3.9	100	136	9	1	1
2.4	133	137	16	0	1
4.3	80	137	6	1	1
3	126	139.2	10	1	0
1.9	122	140	11	1	1
2.999	133	140	19	1	1
2.8	124	140	19	1	0
3.5	138	140	19	1	1
2.3	127	141	7	0	1
3.7	89	142	22	0	1
3.2	87	142.546	24	1	1
2.75	142	143	16	1	1
2.75	142	143	16	1	1
3.2	95	143	4	1	1
2.6	142	143	16	1	1
2.99	125	144	7	1	0
2.45	132	146	23	0	1
2.45	132	146	23	0	1
2.5	129	146	25	0	1
3.9	100	148	9	1	1
2.1	115	148	19	1	1
3.2	107	149	24	1	1
2.3	134	150	22	0	0
2.35	117	150	13	1	0
3.3	101	151	19	1	1
2	125	152	25	1	1
2.9	124	155	6	1	1
3.8	123	155	10	1	1
1.45	136	155	25	0	1
3.95	101	155	17	1	1
2.4	122	160	6	1	1
2.49	122	160	12	1	0
2.9	119	160	25	1	1
2.3	112	162.5	23	1	1
3.95	93	162.6	18	1	1
2.9	94	165	17	0	0
2.95	140	165	17	1	1
2.2	112	166	17	0	1
3.45	128	167	24	0	1
2.32	108	169	25	0	0
2.7	113	169	6	1	1
2.25	127	170	11	1	1
2.999	114	170	25	1	1
3.9	116	170	6	1	1
4.2	112	170	21	0	1
2.65	111	170	25	0	1
1.95	125	171	10	1	0
3.6	92	171	21	1	1
1.8	127	172	25	1	1
2.5	130	172.344	18	1	0
4.2	84	173	25	1	1
3.3	93	178	25	1	1
2.8	100	179	8	1	0
3.2	104	180	4	1	1
2.7	134	180	25	0	0
2	137	180	22	1	1
2.79	110	184	18	1	1
1.9	131	187	5	0	1
1.7	121	189	18	1	0
3.1	116	190	20	1	1
2.1	137	190	20	0	1
1.8	138	190	19	1	1
3.2	121	190	25	1	1
3.1	122	192	11	1	1
4.2	103	192	26	1	0
2.4	136	193	9	1	1
3.333	130	193	25	1	1
3.2	129	195	11	1	1
2.4	129	197	10	0	1
3.5	113	197	18	0	1
2.45	132	200	25	0	0
1.9	126	204	25	1	0
1.75	139	214	17	0	1
2.4	110	216	19	1	1
2.4	110	216	19	1	1
2.35	133	218	19	1	1
3.8	78	223	25	0	1
2.499	136	223	25	0	1
2	138	230	8	1	1
1.75	142	235	24	0	1
2.45	121	250	22	0	1
2.2	136	250	6	1	1
